battery_voltage,load_voltage,set_voltage,pwm_duty_cycle,label
4.56,3.99,2.39,59.19,2
7.01,2.22,4.03,97.33,1
3.96,4.29,4.26,87.8,2
7.86,5.27,3.51,28.42,2
3.57,4.53,3.84,123.35,2
3.37,3.59,4.82,140.57,1
4.99,3.93,3.63,252.94,2
3.84,5.81,4.4,179.15,2
5.35,1.64,1.45,128.33,2
4.63,5.32,4.54,223.78,2
8.45,1.7,1.32,139.14,2
7.49,4.09,3.92,84.62,2
6.79,2.85,3.95,149.56,1
3.87,2.43,2.65,46.0,1
3.22,3.89,1.94,87.71,2
4.13,2.38,3.08,8.5,1
5.4,4.25,3.26,181.92,2
4.58,2.69,2.89,83.28,1
3.45,0.84,1.44,139.68,1
6.13,3.47,3.82,72.49,1
8.19,1.95,1.8,56.01,2
3.05,4.67,4.48,126.06,2
3.5,1.62,1.65,108.02,1
3.12,2.55,3.49,95.32,1
4.15,3.47,3.28,139.91,2
7.1,2.59,2.8,7.8,1
3.17,4.67,4.05,45.18,2
3.9,2.53,3.53,206.27,1
8.36,3.45,3.04,86.77,2
7.39,4.04,4.34,198.15,1
7.42,5.17,3.69,206.49,2
3.79,0.96,2.24,178.79,1
6.34,2.67,4.07,6.57,1
3.37,0.37,1.32,222.86,1
3.69,1.3,2.17,226.72,1
6.65,2.72,2.68,109.14,2
4.25,4.13,4.39,53.49,1
7.82,0.63,1.43,241.46,1
7.62,4.74,2.98,224.78,2
4.81,2.18,2.77,174.15,1
7.08,0.99,1.9,218.5,1
6.05,2.14,1.05,144.84,2
6.26,3.52,3.73,253.97,1
3.03,4.69,3.66,228.59,2
3.77,3.66,2.05,162.61,2
5.7,2.56,3.47,26.02,1
7.44,1.81,2.23,55.28,1
7.11,3.29,3.72,251.69,1
7.7,3.52,4.64,94.47,1
4.97,0.35,2.16,179.22,1
5.95,1.47,2.83,33.8,1
6.42,3.38,2.24,167.18,2
6.16,3.64,3.47,223.32,2
6.1,3.29,2.11,20.16,2
6.61,3.52,2.75,10.85,2
3.69,3.51,2.42,197.82,2
6.33,2.35,3.93,94.42,1
5.21,2.16,3.26,54.52,1
7.66,5.66,4.85,201.57,2
6.38,2.5,2.48,104.45,2
8.25,4.05,3.9,83.98,2
3.79,3.24,2.98,30.11,2
3.23,2.17,1.97,15.79,2
5.81,-0.82,1.12,4.42,1
4.75,-0.31,1.55,69.8,1
7.73,0.38,1.46,94.21,1
6.92,2.86,1.81,154.87,2
4.88,2.77,3.0,66.77,1
4.8,4.91,4.11,93.46,2
6.06,4.05,4.76,223.8,1
7.01,4.42,4.44,34.33,1
7.21,1.97,3.28,37.1,1
5.51,5.08,4.96,248.77,2
6.86,3.44,4.09,200.66,1
8.28,0.44,1.84,140.78,1
4.44,5.53,3.55,33.63,2
7.83,0.31,1.35,66.03,1
4.12,5.38,4.99,99.27,2
3.64,3.88,1.94,86.09,2
6.85,2.96,1.91,11.8,2
3.68,1.34,2.83,53.23,1
4.45,4.84,3.03,201.72,2
6.64,4.22,2.28,130.26,2
7.87,-0.84,1.06,228.05,1
7.35,3.46,2.07,229.65,2
5.7,2.87,1.28,124.5,2
4.04,4.16,2.58,234.64,2
7.9,2.92,3.63,234.67,1
5.05,1.27,1.99,145.44,1
6.59,2.7,2.52,3.52,2
8.45,5.92,4.2,140.4,2
5.23,5.45,4.27,160.63,2
5.33,2.89,1.8,234.64,2
7.2,3.89,4.35,127.48,1
3.42,-0.2,1.61,41.61,1
4.79,5.22,3.63,82.27,2
5.39,5.42,3.97,216.46,2
6.32,1.94,3.23,252.95,1
8.42,5.34,4.45,132.02,2
7.81,2.61,4.32,73.67,1
6.55,1.34,1.75,118.88,1
4.13,5.29,3.8,228.39,2
7.76,0.6,2.18,130.36,1
7.13,4.03,3.61,61.88,2
7.7,3.22,3.5,36.06,1
7.13,0.48,1.8,9.58,1
4.8,1.72,2.35,44.87,1
3.18,2.68,1.77,96.96,2
4.62,2.69,2.75,41.96,1
7.71,4.62,4.29,102.83,2
7.22,2.88,4.35,99.45,1
5.31,2.88,1.33,125.39,2
5.76,2.28,2.29,120.93,1
6.13,2.49,3.84,70.2,1
6.31,-0.22,1.0,140.92,1
8.16,5.24,4.83,189.98,2
3.7,2.88,2.3,54.14,2
8.23,2.94,3.46,36.41,1
4.34,3.97,3.59,66.81,2
3.84,1.32,1.48,234.99,1
4.92,4.78,3.04,89.77,2
5.16,0.4,1.36,202.58,1
6.18,2.33,2.75,28.5,1
7.07,2.92,3.5,48.17,1
3.64,2.62,2.78,248.74,1
4.17,1.01,2.95,63.64,1
4.35,4.36,2.64,0.06,2
4.15,-0.07,1.32,202.84,1
5.59,4.14,4.89,225.17,1
7.5,5.93,4.19,141.61,2
7.7,5.59,4.58,1.34,2
3.32,2.72,3.35,129.16,1
7.6,1.93,3.71,207.08,1
7.25,3.53,4.82,198.75,1
4.27,2.95,4.72,95.04,1
4.11,3.04,2.04,25.29,2
8.14,1.8,1.29,119.84,2
6.89,3.01,3.45,82.75,1
4.78,3.08,1.7,232.82,2
4.68,3.7,2.26,19.37,2
8.44,1.33,2.45,115.57,1
7.92,5.67,4.94,7.4,2
7.85,3.64,1.89,212.9,2
4.68,5.29,4.42,206.0,2
4.83,3.24,3.72,127.79,1
6.56,1.9,2.14,170.43,1
7.3,3.74,4.62,55.1,1
5.87,3.26,1.28,30.86,2
3.57,1.4,3.02,165.77,1
6.18,0.62,2.3,134.51,1
3.68,0.46,2.0,42.87,1
3.06,2.9,4.6,99.47,1
4.18,3.7,2.1,49.39,2
4.84,4.23,4.51,162.96,1
4.09,6.63,4.78,107.51,2
3.25,4.28,3.78,11.64,2
5.76,2.63,1.38,162.23,2
6.44,4.03,3.31,200.67,2
7.83,4.84,4.58,227.99,2
5.35,-0.09,1.33,172.89,1
4.0,2.05,1.56,245.87,2
5.94,4.85,3.92,121.04,2
5.04,4.01,4.01,132.76,2
7.64,4.26,4.56,152.35,1
5.92,2.22,3.08,190.48,1
8.14,3.16,3.65,115.74,1
5.68,6.38,4.63,118.03,2
5.89,3.33,2.01,146.02,2
7.8,6.23,4.47,210.58,2
5.8,3.71,2.25,129.72,2
4.92,3.13,1.89,254.57,2
4.54,1.94,1.77,205.97,2
7.77,4.29,2.61,141.93,2
6.64,0.94,2.65,127.2,1
6.97,2.03,3.49,224.09,1
6.27,-0.0,1.29,154.15,1
5.29,2.02,1.48,56.2,2
6.8,6.82,4.91,108.15,2
8.11,2.65,1.02,10.38,2
3.47,1.76,2.95,235.95,1
3.6,1.37,2.33,53.73,1
3.13,3.12,4.15,17.15,1
6.43,2.12,2.22,42.05,1
4.96,0.9,2.45,38.76,1
4.18,0.8,1.83,108.96,1
6.41,0.97,2.59,39.13,1
8.45,1.07,2.59,56.18,1
3.66,3.73,3.0,26.14,2
6.92,4.29,3.96,180.23,2
4.07,2.52,3.04,52.9,1
5.4,4.06,2.64,177.2,2
7.95,5.44,4.36,132.76,2
7.93,5.88,4.73,183.99,2
7.71,0.98,1.13,157.53,1
7.88,2.24,1.23,92.72,2
6.55,2.98,2.98,213.04,2
4.97,3.16,4.24,96.25,1
5.57,3.17,4.0,157.02,1
3.89,3.01,2.71,139.69,2
5.96,5.75,4.26,230.25,2
4.04,4.96,4.18,48.67,2
6.23,1.16,1.61,169.77,1
7.54,3.68,3.39,87.24,2
5.36,1.55,1.77,1.81,1
3.27,2.08,3.9,90.18,1
4.58,2.16,3.72,25.75,1
6.7,4.07,3.36,252.38,2
6.2,3.43,4.36,100.35,1
8.34,4.02,3.98,209.99,2
3.26,2.09,1.47,11.43,2
4.62,2.14,1.95,170.84,2
4.24,3.74,3.84,173.64,1
3.67,4.08,3.33,198.77,2
7.42,2.32,4.12,25.11,1
7.31,3.51,4.23,35.16,1
4.52,4.09,4.97,150.93,1
3.37,2.03,2.09,243.68,1
8.17,2.67,1.65,46.94,2
5.56,2.39,2.29,42.72,2
8.17,3.01,1.38,125.01,2
7.59,5.39,4.48,179.13,2
4.43,2.69,2.56,54.06,2
7.44,4.46,3.38,119.29,2
4.35,4.61,2.99,22.33,2
4.67,4.84,4.57,23.05,2
6.15,0.61,2.43,22.33,1
3.74,0.03,1.84,73.65,1
4.58,2.01,1.67,247.22,2
